"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.447491180E-1	-1.082752272E-1	6.490531564E-1	9.917651176E0	9.939456644E0
4.468354220E-1	-1.130608693E-1	6.873382926E-1	9.893125534E0	9.917618137E0
4.489243400E-1	-1.322034448E-1	6.771687865E-1	9.907482147E0	9.931477121E0
4.510129430E-1	-1.280160099E-1	7.202396393E-1	9.917053223E0	9.943997077E0
4.531030510E-1	-1.232303679E-1	7.154539824E-1	9.907482147E0	9.934045632E0
4.551924980E-1	-1.471585929E-1	7.298108935E-1	9.902696609E0	9.930643470E0
4.572819150E-1	-1.328016520E-1	7.298108935E-1	9.907482147E0	9.935213270E0
4.593715350E-1	-1.328016520E-1	7.393822074E-1	9.883553505E0	9.912060947E0
4.614622740E-1	-1.519442350E-1	7.202396393E-1	9.883553505E0	9.910926398E0
4.635466750E-1	-1.423729509E-1	6.963114142E-1	9.897911072E0	9.923394743E0
4.656270480E-1	-1.423729509E-1	7.010970116E-1	9.873982430E0	9.899865458E0
4.677274710E-1	-1.423729509E-1	7.058826685E-1	9.873982430E0	9.900205524E0
4.698172450E-1	-1.322034448E-1	6.771687865E-1	9.884152412E0	9.908203885E0
4.719095800E-1	-1.232303679E-1	6.675975323E-1	9.855438232E0	9.878792180E0
4.739959550E-1	-1.178465188E-1	6.388836503E-1	9.845867157E0	9.867277243E0
4.760860640E-1	-1.130608693E-1	6.101697683E-1	9.841679573E0	9.861224403E0
4.781768130E-1	-8.434699476E-2	5.964110494E-1	9.817750931E0	9.836211359E0
4.802644590E-1	-8.434699476E-2	5.910272002E-1	9.784252167E0	9.802449593E0
4.823519940E-1	-9.451649338E-2	6.436693072E-1	9.817152977E0	9.838685691E0
4.844381660E-1	-8.015955985E-2	6.771687865E-1	9.798010826E0	9.821710608E0
4.865318340E-1	-8.494520187E-2	6.963114142E-1	9.797411919E0	9.822491821E0
4.886209760E-1	-8.554340899E-2	7.345965505E-1	9.806983948E0	9.834830142E0
4.907112260E-1	-8.554340899E-2	7.345965505E-1	9.816555023E0	9.844374144E0
4.928000330E-1	-9.511470050E-2	7.441678643E-1	9.806983948E0	9.835637588E0
4.948908120E-1	-1.040877849E-1	7.250252366E-1	9.826126099E0	9.853387741E0
4.969781230E-1	-1.040877849E-1	6.867401004E-1	9.845269203E0	9.869740215E0
4.990673780E-1	-1.082752272E-1	6.394818425E-1	9.874580383E0	9.895857633E0
5.011561840E-1	-1.268195957E-1	5.718846321E-1	9.884750366E0	9.902091953E0
5.032460570E-1	-1.507478207E-1	5.383850932E-1	9.904491425E0	9.920258756E0
5.053355550E-1	-1.651047617E-1	4.905286431E-1	9.890133858E0	9.903667283E0
5.074194480E-1	-1.692921966E-1	4.618147612E-1	9.881160736E0	9.893395282E0
5.094940950E-1	-1.980060786E-1	4.331009090E-1	9.881160736E0	9.892629595E0
5.116038470E-1	-1.932204217E-1	4.187439680E-1	9.896116257E0	9.906856091E0
5.136828860E-1	-1.932204217E-1	4.043870270E-1	9.857831001E0	9.868013734E0
5.157868800E-1	-1.788634956E-1	3.948157430E-1	9.862616539E0	9.872136375E0
5.178701730E-1	-1.549352705E-1	4.043870270E-1	9.872187614E0	9.881681137E0
5.199570460E-1	-1.651047617E-1	4.522434771E-1	9.852447510E0	9.864203246E0
5.220237070E-1	-1.603191197E-1	5.383850932E-1	9.851848602E0	9.867850911E0
5.241232650E-1	-1.657029688E-1	6.149554253E-1	9.851250648E0	9.871816803E0
5.262128350E-1	-1.567298770E-1	6.675975323E-1	9.845867157E0	9.869718881E0
5.283090670E-1	-1.716850251E-1	7.339983582E-1	9.811769485E0	9.840683400E0
5.303936830E-1	-1.668993831E-1	7.722834945E-1	9.816555023E0	9.848300855E0
5.324831090E-1	-1.477568001E-1	7.968099117E-1	9.820742607E0	9.854122156E0
5.345719250E-1	-1.483550072E-1	8.153542876E-1	9.792028427E0	9.827035796E0
5.366616970E-1	-1.483550072E-1	8.105686903E-1	9.792028427E0	9.826639890E0
5.387509820E-1	-1.238285750E-1	7.968099117E-1	9.806385040E0	9.839483071E0
5.408402570E-1	-1.190429255E-1	7.872386575E-1	9.811170578E0	9.843423390E0
